,year,name,movie,genre,age
41,1970,Cliff Robertson,Charly,M,45.0
42,1971,John Wayne,True Grit,M,62.0
43,1972,George C. Scott,Patton,M,43.0
44,1973,Gene Hackman,The French Connection,M,42.0
45,1974,Marlon Brando,The Godfather,M,48.0
46,1975,Jack Lemmon,Save the Tiger,M,49.0
47,1976,Art Carney,Harry and Tonto,M,56.0
48,1977,Jack Nicholson,One Flew Over the Cuckoo's Nest,M,38.0
49,1978,Peter Finch,Network,M,60.0
50,1979,Richard Dreyfuss,The Goodbye Girl,M,30.0
51,1980,Jon Voight,Coming Home,M,40.0
52,1981,Dustin Hoffman,Kramer vs. Kramer,M,42.0
53,1982,Robert De Niro,Raging Bull,M,37.0
54,1983,Henry Fonda,On Golden Pond,M,76.0
55,1984,Ben Kingsley,Gandhi,M,39.0
56,1985,Robert Duvall,Tender Mercies,M,53.0
57,1986,F. Murray Abraham,Amadeus,M,45.0
58,1987,William Hurt,Kiss of the Spider Woman,M,36.0
59,1988,Paul Newman,The Color of Money,M,62.0
60,1989,Michael Douglas,Wall Street,M,43.0
61,1990,Dustin Hoffman,Rain Man,M,51.0
62,1991,Daniel Day-Lewis,My Left Foot,M,32.0
63,1992,Jeremy Irons,Reversal of Fortune,M,42.0
64,1993,Anthony Hopkins,The Silence of the Lambs,M,54.0
65,1994,Al Pacino,Scent of a Woman,M,52.0
66,1995,Tom Hanks,Philadelphia,M,37.0
67,1996,Tom Hanks,Forrest Gump,M,38.0
68,1997,Nicolas Cage,Leaving Las Vegas,M,32.0
69,1998,Geoffrey Rush,Shine,M,45.0
70,1999,Jack Nicholson,As Good as It Gets,M,60.0
71,2000,Roberto Benigni,Life Is Beautiful,M,46.0
72,2001,Kevin Spacey,American Beauty,M,40.0
73,2002,Russell Crowe,Gladiator,M,36.0
74,2003,Denzel Washington,Training Day	,M,47.0
75,2004,Adrien Brody,The Pianist,M,29.0
76,2005,Sean Penn,Mystic River,M,43.0
77,2006,Jamie Foxx,Ray,M,37.0
78,2007,Philip Seymour Hoffman,Capote,M,38.0
79,2008,Forest Whitaker,The Last King of Scotland	,M,45.0
80,2009,Daniel Day-Lewis,There Will Be Blood,M,50.0
81,2010,Sean Penn,Milk,M,48.0
82,2011,Jeff Bridges,Crazy Heart,M,60.0
83,2012,Colin Firth,The King's Speech	,M,50.0
84,2013,Jean Dujardin,The Artist,M,39.0
85,2014,Daniel Day-Lewis,Lincoln,M,55.0
86,2015,Matthew McConaughey,Dallas Buyers Club,M,44.0
87,2016,Eddie Redmayne,The Theory of Everything	,M,33.0
88,2017,Leonardo DiCaprio,The Revenant,M,41.0
