,year,name,movie,genre,age
19,1963,Natalie Wood,Love with the Proper Stranger,F,
20,1964,Julie Andrews ‡,Mary Poppins,F,
21,1964,Anne Bancroft,The Pumpkin Eater,F,
22,1964,Sophia Loren,Marriage Italian Style,F,
23,1964,Debbie Reynolds,The Unsinkable Molly Brown,F,
24,1964,Kim Stanley,Séance on a Wet Afternoon,F,
25,1965,Julie Christie ‡,Darling,F,
26,1965,Julie Andrews,The Sound of Music,F,
27,1965,Samantha Eggar,The Collector,F,
28,1965,Elizabeth Hartman,A Patch of Blue,F,
29,1965,Simone Signoret,Ship of Fools,F,
30,1966,Elizabeth Taylor ‡,Who's Afraid of Virginia Woolf?,F,
31,1966,Anouk Aimée,A Man and a Woman,F,
32,1966,Ida Kamińska,The Shop on Main Street,F,
33,1966,Lynn Redgrave,Georgy Girl,F,
34,1966,Vanessa Redgrave,Morgan!,F,
35,1967,Katharine Hepburn ‡,Guess Who's Coming to Dinner,F,
36,1967,Anne Bancroft,The Graduate,F,
37,1967,Faye Dunaway,Bonnie and Clyde,F,
38,1967,Edith Evans,The Whisperers,F,
39,1967,Audrey Hepburn,Wait Until Dark,F,
40,1968,Katharine Hepburn ‡ (TIE) [C],The Lion in Winter,F,
41,1968,Barbra Streisand ‡ (TIE) [C],Funny Girl,F,
42,1968,Patricia Neal,The Subject Was Roses,F,
43,1968,Vanessa Redgrave,Isadora,F,
44,1968,Joanne Woodward,"Rachel, Rachel",F,
45,1969,Maggie Smith ‡,The Prime of Miss Jean Brodie,F,
46,1969,Geneviève Bujold,Anne of the Thousand Days,F,
47,1969,Jane Fonda,"They Shoot Horses, Don't They?",F,
48,1969,Liza Minnelli,The Sterile Cuckoo,F,
49,1969,Jean Simmons,The Happy Ending,F,
0,1970,Glenda Jackson ‡,Women in Love,F,
1,1970,Jane Alexander,The Great White Hope,F,
2,1970,Ali MacGraw,Love Story,F,
3,1970,Sarah Miles,Ryan's Daughter,F,
4,1970,Carrie Snodgress,Diary of a Mad Housewife,F,
5,1971,Jane Fonda ‡,Klute,F,
6,1971,Julie Christie,McCabe & Mrs. Miller,F,
7,1971,Glenda Jackson,Sunday Bloody Sunday,F,
8,1971,Vanessa Redgrave,"Mary, Queen of Scots",F,
9,1971,Janet Suzman,Nicholas and Alexandra,F,
10,1972,Liza Minnelli ‡,Cabaret,F,
11,1972,Diana Ross,Lady Sings the Blues,F,
12,1972,Maggie Smith,Travels with My Aunt,F,
13,1972,Cicely Tyson,Sounder,F,
14,1972,Liv Ullmann,The Emigrants,F,
15,1973,Glenda Jackson ‡,A Touch of Class,F,
16,1973,Ellen Burstyn,The Exorcist,F,
17,1973,Marsha Mason,Cinderella Liberty,F,
18,1973,Barbra Streisand,The Way We Were,F,
19,1973,Joanne Woodward,"Summer Wishes, Winter Dreams",F,
20,1974,Ellen Burstyn ‡,Alice Doesn't Live Here Anymore,F,
21,1974,Diahann Carroll,Claudine,F,
22,1974,Faye Dunaway,Chinatown,F,
23,1974,Valerie Perrine,Lenny,F,
24,1974,Gena Rowlands,A Woman Under the Influence,F,
25,1975,Louise Fletcher ‡,One Flew Over the Cuckoo's Nest,F,
26,1975,Isabelle Adjani,The Story of Adele H.,F,
27,1975,Ann-Margret,Tommy,F,
28,1975,Glenda Jackson,Hedda,F,
29,1975,Carol Kane,Hester Street,F,
30,1976,Faye Dunaway ‡,Network,F,
31,1976,Marie-Christine Barrault,Cousin Cousine,F,
32,1976,Talia Shire,Rocky,F,
33,1976,Sissy Spacek,Carrie,F,
34,1976,Liv Ullmann,Face to Face,F,
35,1977,Diane Keaton ‡,Annie Hall,F,
36,1977,Anne Bancroft,The Turning Point,F,
37,1977,Jane Fonda,Julia,F,
38,1977,Shirley MacLaine,The Turning Point,F,
39,1977,Marsha Mason,The Goodbye Girl,F,
40,1978,Jane Fonda ‡,Coming Home,F,
41,1978,Ingrid Bergman,Autumn Sonata,F,
42,1978,Ellen Burstyn,"Same Time, Next Year",F,
43,1978,Jill Clayburgh,An Unmarried Woman,F,
44,1978,Geraldine Page,Interiors,F,
45,1979,Sally Field ‡,Norma Rae,F,
46,1979,Jill Clayburgh,Starting Over,F,
47,1979,Jane Fonda,The China Syndrome,F,
48,1979,Marsha Mason,Chapter Two,F,
49,1979,Bette Midler,The Rose,F,
0,1980,Sissy Spacek ‡,Coal Miner's Daughter,F,
1,1980,Ellen Burstyn,Resurrection,F,
2,1980,Goldie Hawn,Private Benjamin,F,
3,1980,Mary Tyler Moore,Ordinary People,F,
4,1980,Gena Rowlands,Gloria,F,
5,1981,Katharine Hepburn ‡,On Golden Pond,F,
6,1981,Diane Keaton,Reds,F,
7,1981,Marsha Mason,Only When I Laugh,F,
8,1981,Susan Sarandon,Atlantic City,F,
9,1981,Meryl Streep,The French Lieutenant's Woman,F,
10,1982,Meryl Streep ‡,Sophie's Choice,F,
11,1982,Julie Andrews,Victor/Victoria,F,
12,1982,Jessica Lange,Frances,F,
13,1982,Sissy Spacek,Missing,F,
14,1982,Debra Winger,An Officer and a Gentleman,F,
15,1983,Shirley MacLaine ‡,Terms of Endearment,F,
16,1983,Jane Alexander,Testament,F,
17,1983,Meryl Streep,Silkwood,F,
18,1983,Julie Walters,Educating Rita,F,
19,1983,Debra Winger,Terms of Endearment,F,
20,1984,Sally Field ‡,Places in the Heart,F,
21,1984,Judy Davis,A Passage to India,F,
22,1984,Jessica Lange,Country,F,
23,1984,Vanessa Redgrave,The Bostonians,F,
24,1984,Sissy Spacek,The River,F,
25,1985,Geraldine Page ‡,The Trip to Bountiful,F,
26,1985,Anne Bancroft,Agnes of God,F,
27,1985,Whoopi Goldberg,The Color Purple,F,
28,1985,Jessica Lange,Sweet Dreams,F,
29,1985,Meryl Streep,Out of Africa,F,
30,1986,Marlee Matlin ‡,Children of a Lesser God,F,
31,1986,Jane Fonda,The Morning After,F,
32,1986,Sissy Spacek,Crimes of the Heart,F,
33,1986,Kathleen Turner,Peggy Sue Got Married,F,
34,1986,Sigourney Weaver,Aliens,F,
35,1987,Cher ‡,Moonstruck,F,
36,1987,Glenn Close,Fatal Attraction,F,
37,1987,Holly Hunter,Broadcast News,F,
38,1987,Sally Kirkland,Anna,F,
39,1987,Meryl Streep,Ironweed,F,
40,1988,Jodie Foster ‡,The Accused,F,
41,1988,Glenn Close,Dangerous Liaisons,F,
42,1988,Melanie Griffith,Working Girl,F,
43,1988,Meryl Streep,A Cry in the Dark,F,
44,1988,Sigourney Weaver,Gorillas in the Mist,F,
45,1989,Jessica Tandy ‡,Driving Miss Daisy,F,
46,1989,Isabelle Adjani,Camille Claudel,F,
47,1989,Pauline Collins,Shirley Valentine,F,
48,1989,Jessica Lange,Music Box,F,
49,1989,Michelle Pfeiffer,The Fabulous Baker Boys,F,
0,1990,Kathy Bates ‡,Misery,F,
1,1990,Anjelica Huston,The Grifters,F,
2,1990,Julia Roberts,Pretty Woman,F,
3,1990,Meryl Streep,Postcards from the Edge,F,
4,1990,Joanne Woodward,Mr. & Mrs. Bridge,F,
5,1991,Jodie Foster ‡,The Silence of the Lambs,F,
6,1991,Geena Davis,Thelma & Louise,F,
7,1991,Laura Dern,Rambling Rose,F,
8,1991,Bette Midler,For the Boys,F,
9,1991,Susan Sarandon,Thelma & Louise,F,
10,1992,Emma Thompson ‡,Howards End,F,
11,1992,Catherine Deneuve,Indochine,F,
